array_id,superIterationCount,numberOfCells,worldSize,gridSize,wbK,kappa,homotypicInhibition,heterotypicInhibition,polarityPersistence,polarityTurningCoupling,flowScaling,flowPolarityCoupling,
185,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,2.25,2.0,
186,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,4.0,0.2,
187,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,4.0,1.1,
188,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.2,0.9,4.0,2.0,
189,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,0.5,0.2,
190,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,0.5,1.1,
191,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,0.5,2.0,
192,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,2.25,0.2,
193,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,2.25,1.1,
194,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,2.25,2.0,
195,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,4.0,0.2,
196,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,4.0,1.1,
197,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.1,4.0,2.0,
198,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,0.5,0.2,
199,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,0.5,1.1,
200,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,0.5,2.0,
201,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,2.25,0.2,
202,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,2.25,1.1,
203,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,2.25,2.0,
204,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,4.0,0.2,
205,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,4.0,1.1,
206,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.5,4.0,2.0,
207,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,0.5,0.2,
208,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,0.5,1.1,
209,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,0.5,2.0,
210,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,2.25,0.2,
211,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,2.25,1.1,
212,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,2.25,2.0,
213,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,4.0,0.2,
214,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,4.0,1.1,
215,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.575,0.9,4.0,2.0,
216,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,0.5,0.2,
217,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,0.5,1.1,
218,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,0.5,2.0,
219,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,2.25,0.2,
220,10.0,150.0,1024.0,32.0,0.5,1.0,0.6,0.8,0.95,0.1,2.25,1.1,
